timestamp,name,url,rate_rps,duration_s,threads,connections,requests,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,err_connect,err_read,err_write,err_status,err_timeout,exit_code
20260311_182655,lean_json,http://127.0.0.1:8080/json,2000,60,2,100,119803,1996.65,1.270,2.141,2.427,2.803,0,0,0,0,0,0
20260311_182756,warp_json,http://127.0.0.1:8081/json,2000,60,2,100,119805,1996.67,1.295,2.157,2.439,2.889,0,0,0,0,0,0
20260311_182857,lean_file50k,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.440,2.161,2.505,3.401,0,0,0,0,0,0
20260311_182957,warp_file50k,http://127.0.0.1:8081/file50k,300,60,2,100,17855,297.56,1.682,3.677,4.479,8.007,0,0,0,0,0,0
20260311_183058,lean_file1m,http://127.0.0.1:8080/file1m,50,60,2,50,2979,49.65,4.743,16.783,18.655,44.095,0,0,0,0,0,0
20260311_183159,warp_file1m,http://127.0.0.1:8081/file1m,50,60,2,50,3002,50.03,2.909,4.535,5.563,6.455,0,0,0,0,0,0
20260312_121835,lean_json,http://127.0.0.1:8080/json,2000,60,2,100,119807,1996.69,1.416,2.345,2.739,3.437,0,0,0,0,0,0
20260312_121936,warp_json,http://127.0.0.1:8081/json,2000,60,2,100,118905,1981.67,1.480,2.943,3.835,5.691,0,0,0,0,0,0
20260312_122037,flask_json,http://127.0.0.1:8082/json,2000,60,2,100,84516,1408.58,9306.111,16728.063,17465.343,17645.567,0,0,0,0,0,0
20260312_122137,nginx_json,http://127.0.0.1:8083/json,2000,60,2,100,118002,1966.58,4.699,9.631,11.271,15.591,0,0,0,0,0,0
20260312_122238,go_json,http://127.0.0.1:8084/json,2000,60,2,100,119804,1996.66,1.374,2.367,2.707,3.633,0,0,0,0,0,0
20260312_122339,lean_file50k,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.489,2.241,2.573,3.231,0,0,0,0,0,0
20260312_122440,warp_file50k,http://127.0.0.1:8081/file50k,300,60,2,100,18002,300.02,1.365,2.157,2.463,2.789,0,0,0,0,0,0
20260312_122540,flask_file50k,http://127.0.0.1:8082/file50k,300,60,2,100,17777,296.25,273.663,370.431,386.047,404.223,0,0,0,0,0,0
20260312_122641,nginx_file50k,http://127.0.0.1:8083/file50k,300,60,2,100,18002,300.02,1.350,2.073,2.401,2.855,0,0,0,0,0,0
20260312_122742,go_file50k,http://127.0.0.1:8084/file50k,300,60,2,100,18002,300.02,1.398,2.161,2.507,2.905,0,0,0,0,0,0
20260312_122842,lean_file1m,http://127.0.0.1:8080/file1m,50,60,2,50,3002,50.03,4.375,6.611,9.455,45.631,0,0,0,0,0,0
20260312_122943,warp_file1m,http://127.0.0.1:8081/file1m,50,60,2,50,3002,50.03,3.251,4.583,5.719,15.295,0,0,0,0,0,0
20260312_123044,flask_file1m,http://127.0.0.1:8082/file1m,50,60,2,50,2954,49.23,1003.519,1037.311,1056.767,1065.983,0,0,0,0,0,0
20260318_074954,lean_json,http://127.0.0.1:8080/json,2000,60,2,100,,,,,,,,,,,,0
20260318_075007,warp_json,http://127.0.0.1:8081/json,2000,60,2,100,,,,,,,,,,,,1
20260318_075008,flask_json,http://127.0.0.1:8082/json,2000,60,2,100,,,,,,,,,,,,1
20260318_075009,nginx_json,http://127.0.0.1:8083/json,2000,60,2,100,,,,,,,,,,,,1
20260318_075009,go_json,http://127.0.0.1:8084/json,2000,60,2,100,,,,,,,,,,,,1
20260318_075010,lean_file50k,http://127.0.0.1:8080/file50k,300,60,2,100,,,,,,,,,,,,1
20260318_075010,warp_file50k,http://127.0.0.1:8081/file50k,300,60,2,100,,,,,,,,,,,,1
20260318_075011,flask_file50k,http://127.0.0.1:8082/file50k,300,60,2,100,,,,,,,,,,,,1
20260318_075011,nginx_file50k,http://127.0.0.1:8083/file50k,300,60,2,100,,,,,,,,,,,,1
20260318_075012,go_file50k,http://127.0.0.1:8084/file50k,300,60,2,100,,,,,,,,,,,,1
20260318_075013,lean_file1m,http://127.0.0.1:8080/file1m,50,60,2,50,,,,,,,,,,,,1
20260318_075013,warp_file1m,http://127.0.0.1:8081/file1m,50,60,2,50,,,,,,,,,,,,1
20260318_075014,flask_file1m,http://127.0.0.1:8082/file1m,50,60,2,50,,,,,,,,,,,,1
20260318_075014,nginx_file1m,http://127.0.0.1:8083/file1m,50,60,2,50,,,,,,,,,,,,1
20260318_075015,go_file1m,http://127.0.0.1:8084/file1m,50,60,2,50,,,,,,,,,,,,1
