timestamp,name,run_index,url,rate_rps,duration_s,threads,connections,requests,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,err_connect,err_read,err_write,err_status,err_timeout,exit_code,run_dir
20260408_185213,lean_json,1,http://127.0.0.1:8080/json,2000,60,2,100,118903,1981.64,1.444,2.923,3.977,5.375,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_185213_lean_json_R2000_c100_t2_d60s_run1
20260408_185328,warp_json,1,http://127.0.0.1:8081/json,2000,60,2,100,118904,1981.65,1.393,2.887,3.655,4.331,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_185328_warp_json_R2000_c100_t2_d60s_run1
20260408_185443,flask_json,1,http://127.0.0.1:8082/json,2000,60,2,100,112511,1875.16,2238.463,3528.703,3600.383,3639.295,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_185443_flask_json_R2000_c100_t2_d60s_run1
20260408_185558,nginx_json,1,http://127.0.0.1:8083/json,2000,60,2,100,119803,1996.22,1.134,2.149,2.497,2.831,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_185558_nginx_json_R2000_c100_t2_d60s_run1
20260408_185713,go_json,1,http://127.0.0.1:8084/json,2000,60,2,100,119802,1995.44,1.100,2.021,2.445,4.215,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_185713_go_json_R2000_c100_t2_d60s_run1
20260408_185828,lean_file50k,1,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.505,2.279,2.591,3.089,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_185828_lean_file50k_R300_c100_t2_d60s_run1
20260408_185943,warp_file50k,1,http://127.0.0.1:8081/file50k,300,60,2,100,18002,300.02,1.355,2.045,2.357,2.657,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_185943_warp_file50k_R300_c100_t2_d60s_run1
20260408_190059,flask_file50k,1,http://127.0.0.1:8082/file50k,300,60,2,100,17904,298.38,248.959,325.631,332.031,332.799,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190059_flask_file50k_R300_c100_t2_d60s_run1
20260408_190214,nginx_file50k,1,http://127.0.0.1:8083/file50k,300,60,2,100,18002,300.02,1.285,2.023,2.325,2.619,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190214_nginx_file50k_R300_c100_t2_d60s_run1
20260408_190329,go_file50k,1,http://127.0.0.1:8084/file50k,300,60,2,100,18002,300.02,1.372,2.155,2.453,2.697,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190329_go_file50k_R300_c100_t2_d60s_run1
20260408_190444,lean_file1m,1,http://127.0.0.1:8080/file1m,50,60,2,50,3002,50.03,3.281,5.015,43.903,45.535,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190444_lean_file1m_R50_c50_t2_d60s_run1
20260408_190559,warp_file1m,1,http://127.0.0.1:8081/file1m,50,60,2,50,3002,50.03,2.879,3.891,4.311,5.283,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190559_warp_file1m_R50_c50_t2_d60s_run1
20260408_190714,flask_file1m,1,http://127.0.0.1:8082/file1m,50,60,2,50,2954,49.23,993.791,1005.055,1009.151,1025.023,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190714_flask_file1m_R50_c50_t2_d60s_run1
20260408_190829,nginx_file1m,1,http://127.0.0.1:8083/file1m,50,60,2,50,3002,50.03,2.745,3.831,4.255,4.551,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190829_nginx_file1m_R50_c50_t2_d60s_run1
20260408_190944,go_file1m,1,http://127.0.0.1:8084/file1m,50,60,2,50,3002,50.03,2.979,3.875,4.259,4.627,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_190944_go_file1m_R50_c50_t2_d60s_run1
20260408_191059,warp_json,2,http://127.0.0.1:8081/json,2000,60,2,100,118907,1981.70,1.506,3.369,4.407,5.239,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191059_warp_json_R2000_c100_t2_d60s_run2
20260408_191214,flask_json,2,http://127.0.0.1:8082/json,2000,60,2,100,111891,1864.82,2115.583,3870.719,3917.823,3958.783,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191214_flask_json_R2000_c100_t2_d60s_run2
20260408_191330,nginx_json,2,http://127.0.0.1:8083/json,2000,60,2,100,118902,1979.64,1.377,2.763,3.711,4.407,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191330_nginx_json_R2000_c100_t2_d60s_run2
20260408_191445,go_json,2,http://127.0.0.1:8084/json,2000,60,2,100,118905,1981.67,1.368,2.597,3.119,3.967,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191445_go_json_R2000_c100_t2_d60s_run2
20260408_191600,lean_file50k,2,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.517,2.203,2.525,3.043,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191600_lean_file50k_R300_c100_t2_d60s_run2
20260408_191715,warp_file50k,2,http://127.0.0.1:8081/file50k,300,60,2,100,18002,299.60,1.354,2.109,2.421,12.007,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191715_warp_file50k_R300_c100_t2_d60s_run2
20260408_191830,flask_file50k,2,http://127.0.0.1:8082/file50k,300,60,2,100,17778,296.28,248.319,349.695,353.535,357.887,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191830_flask_file50k_R300_c100_t2_d60s_run2
