endpoint,build_ns,to_lazy_ns,send_ns,total_ns
/json,1307,169195,35251,213906
/json,2774,213948,68797,288034
/json,4025,193652,134255,334734
/json,3637,141972,106911,261924
/json,1206,129875,49075,181372
/json,1135,148831,91706,242576
/json,1374,83643,42375,128566
/json,1196,120880,53155,177157
/json,1141,99236,55311,156786
/json,1696,101633,77886,182621
/json,5682,291090,108729,409571
/json,1305,127111,65375,194946
/json,21059,191446,168996,384424
/json,2623,188432,84895,277212
/json,1048,98602,43009,143992
/json,4108,138727,74353,219742
/json,4259,161238,64326,232738
/json,2593,133734,146231,283890
/json,1193,87518,42735,132677
/json,1154,65723,26888,94875
/json,1113,124692,75524,202504
/json,1487,86642,58615,147957
/json,1116,121924,61986,185898
/json,996,162481,61936,226418
/json,749,53497,26374,81299
/json,1054,142848,65885,210767
/json,1210,95004,322407,419971
/json,1312,82746,39278,124496
/json,1434,407098,35644,445469
/json,2553,116807,49212,170453
/json,1536,91334,41857,135946
/json,3492,122444,99050,227483
/json,969,689954,120882,812817
/json,3735,134803,144429,285710
/json,1211,76732,46403,125547
/json,3149,140571,68905,213826
/json,1023,75351,35728,113135
/json,1553,82040,36643,121789
/json,1170,65759,28349,96559
/json,3990,134227,100219,240914
/json,830,60406,29589,91711
/json,4010,130086,56989,193657
/json,757,85484,33597,120609
/json,1238,97883,46795,147228
/json,758,59083,26651,87330
/json,2876,188622,84501,277597
/json,1206,73011,37594,112922
/json,1508,102184,38872,144189
/json,1115,94486,40260,136892
/json,4657,110304,36325,154167
/json,984,52631,27479,81703
/json,2825,106251,92124,203461
/json,740,56354,22929,80929
/json,3895,199172,61871,267638
/json,1117,69166,29981,101277
/json,1038,84219,33921,120315
/json,1115,79598,27797,109685
/json,4068,141201,78698,226480
/json,1293,77892,31053,111462
/json,3966,138619,53210,198517
/json,783,57129,23497,82200
/json,2529,130046,111144,244932
/json,1054,79909,27036,109089
/json,5161,138180,70688,216648
/json,677,45387,21514,68244
/json,4247,146367,43281,196832
/json,1659,76286,34652,113745
/json,4331,162167,55863,225021
/json,1125,62207,28960,93227
/json,3730,131458,66384,204502
/json,1215,72904,30887,106196
/json,1410,70086,70622,143324
/json,940,57260,22474,81409
/json,3475,129428,66313,200437
/json,1449,83395,46684,132635
/json,1856,70557,112614,186641
/json,1050,76214,28841,107081
/json,3891,126070,58898,191702
/json,1364,76244,30516,109337
/json,4347,126714,67206,200881
/json,909,65255,28761,95906
/json,4075,141463,43596,192328
/json,699,51708,16449,69756
/json,1218,80600,38700,121903
/json,1088,79186,29063,110392
/json,3542,143639,56102,205830
/json,1900,89894,30093,123873
/json,3065,129714,60543,194567
/json,664,57674,22534,81749
/json,1124,847623,63552,913380
/json,21262,90778,36218,149552
/json,4713,160263,56681,224320
/json,1005,63122,33291,98346
/json,4093,129006,100921,236600
/json,824,57181,22560,81427
/json,3773,145919,74411,227243
/json,1329,54716,26431,83403
/json,2950,129832,52894,187147
/json,1120,70630,28315,101174
/json,3921,132315,86321,225673
/json,945,204124,20584,226788
/json,3760,130104,87071,223483
/json,796,74913,27048,103564
/json,4019,141732,50621,199178
/json,1282,76154,40085,118578
/json,3613,127641,62590,196481
/json,1410,65940,39086,107462
/json,1566,85552,30827,119160
/json,950,62670,21368,85852
/json,1236,85499,47544,135386
/json,1442,78840,32392,114065
/json,3718,131287,62775,200579
/json,848,54401,22365,78473
/json,3961,129699,60668,197118
/json,1030,69807,23657,95406
/json,3209,126311,72440,203454
/json,835,57747,33957,93408
/json,1440,70135,50159,122861
/json,1302,69569,86853,158910
/json,1664,89034,45623,138805
/json,863,69553,108720,180264
/json,2702,198069,84720,286723
/json,1501,85806,45561,134279
/json,4378,145398,65966,218386
/json,2934,97809,79245,182122
/json,3949,163217,43877,213720
/json,1359,77426,35137,115120
/json,1709,94449,53234,151426
/json,1067,72416,27302,101988
/json,938,49483,21798,73357
/json,949,74418,46858,123322
/json,3694,126653,59859,192758
/json,1260,75662,40595,118386
/json,4177,171748,54734,233526
/json,1349,80010,23007,105572
/json,1629,81551,43451,128181
/json,1848,140250,28723,172554
/json,3922,143546,121042,271467
/json,1091,75434,27671,105341
/json,4448,165137,77361,249601
/json,1072,80083,25587,108066
/json,1315,75423,44293,122305
/json,912,67769,26403,95949
/json,1238,72873,106045,181262
/json,1224,83964,28635,114973
/json,2749,129668,110178,243853
/json,928,48819,23524,73971
/json,3012,130564,122510,257484
/json,1066,80631,25899,108919
/json,4269,134876,57807,199345
/json,1046,109452,61431,173189
/json,1198,90560,52894,145788
/json,1497,76435,34535,113517
/json,4105,267384,70754,345113
/json,1629,67044,26160,95979
/json,1486,82823,132809,218663
/json,706,97052,31276,130106
/json,4356,129375,78349,214957
/json,1119,77065,29843,109223
/json,4212,125165,66106,198073
/json,1043,75257,29519,106892
/json,5483,155504,277148,441310
/json,710,63922,20946,86419
/json,3020,133390,109782,247428
/json,674,39840,17762,59268
/json,3453,132469,56363,193496
/json,766,42344,15670,59774
/json,3677,144049,51633,202261
/json,939,67782,36438,106091
/json,1990,74529,35478,113544
/json,1080,77713,35036,114902
/json,3350,130525,99322,234537
/json,1155,69325,51558,123041
/json,2823,130048,155360,289452
/json,884,54365,20271,76389
/json,1992,93566,55538,153241
/json,851,72757,43864,118465
/json,2671,95380,70605,170844
/json,553,56101,24176,81749
/json,3062,127072,52669,184384
/json,1117,85746,25969,113940
/json,3431,133055,47763,187040
/json,1382,77364,53266,133443
/json,1994,131639,107987,243164
/json,1203,82707,32741,118017
/json,912,55050,35390,92366
/json,1140,1589557,18127,1609979
/json,4314,159513,41042,208085
/json,999,73176,26077,101730
/json,3132,102401,32864,140543
/json,753,48030,16312,66123
/json,4379,111753,36946,155787
/json,620,41065,16127,58407
/json,699,43869,20179,65364
/json,743,59577,21632,82555
/json,3974,108129,84111,198893
/json,711,45330,17385,64100
/json,581,37158,26694,65471
/json,984,61282,25664,88888
/json,700,70072,98675,169912
/json,3122,78521,20524,103247
/json,4004,102511,37095,146293
/json,882,55217,34145,91220
/json,557,33149,13783,48194
/json,814,34620,15518,51511
/json,4816,216519,63660,289361
/json,618,34633,16800,52509
/json,2572,80696,37730,122669
/json,544,34037,14389,49430
/json,4034,135074,101400,243469
/json,766,41564,25253,69023
/json,4001,128252,56317,191081
/json,1079,53671,19085,74766
/json,3820,127689,60616,195002
/json,1876,86472,33022,123066
/json,3172,134696,84137,223425
/json,1648,86256,26197,115268
/json,3628,139975,87782,234235
/json,1124,81934,65012,149135
/json,2285,87148,33650,125143
/json,1114,82639,39730,124856
/json,60547,97609,62474,223687
/json,1135,61224,19971,83222
/json,4911,129854,112360,249931
/json,1166,90875,64099,157480
/json,4184,130601,77456,214983
/json,1340,85926,44729,133375
/json,2809,131222,108650,244092
/json,1168,83229,26361,112041
/json,1279,76791,43172,122509
/json,1219,85671,27997,115998
/json,2198,71672,23651,98402
/json,2621,68753,48089,122054
/json,2678,98506,35207,137324
/json,601,49396,18559,69172
/json,2819,218791,98828,324306
/json,702,49669,15501,66620
/json,760,54573,29261,85528
/json,431,44727,15206,60944
/json,1028,50965,28524,81187
/json,1375,38268,38017,78288
/json,1454,63987,46168,113079
/json,617,43627,20433,65523
/json,915,54344,29860,85882
/json,573,45558,15889,62640
/json,803,39456,19435,60342
/json,412,42957,16266,60807
/json,646,34481,20549,56236
/json,680,33465,13093,47600
/json,2889,76470,48420,129902
/json,406,43553,17717,62414
/json,4606,145277,44724,197163
/json,1620,87547,26152,116620
/json,1243,89466,101465,193960
/json,1987,93950,28107,125496
/json,1133,85305,52856,140685
/json,1095,79692,33347,115386
/json,3758,125255,59314,190912
/json,1143,59007,25002,86084
/json,1091,113766,114095,229964
/json,909,68584,34692,104994
/json,3864,128405,67338,202174
/json,1324,105431,58964,166605
/json,1184,89374,39925,131684
/json,754,46237,21330,69002
/json,1428,59585,37716,100133
/json,467,280631,17872,299898
/json,3815,171640,47307,225342
/json,901,186044,20918,208745
/json,5254,140496,75907,224380
/json,1259,83764,40337,126673
/json,1060,105731,113103,220893
/json,1168,102269,42131,147121
/json,1452,83694,44000,130607
/json,1330,77580,33090,113204
/json,892,125588,56554,183889
/json,1199,73049,27052,102429
/json,1775,85123,43331,131598
/json,824,75271,32304,109099
/json,1295,82878,35090,120379
/json,1068,71104,26717,99757
/json,3730,96133,85875,187576
/json,3039,93826,86704,184438
/json,852,68519,83637,153696
/json,848,51465,33094,86118
/json,3141,131777,68992,205316
/json,2052,102431,36379,143204
/json,3881,129130,52249,188041
/json,1440,89983,43652,136531
/json,1702,105421,69174,177552
/json,984,87165,46019,136033
/json,1191,91259,37677,131655
/json,836,75509,31193,109131
/json,947,62889,31050,96021
/json,1197,74167,33103,109713
/json,1409,99187,60994,162721
/json,1326,85971,30474,119857
/json,3914,127816,56252,189518
/json,1130,111223,37260,151022
/json,4075,138370,58518,203411
/json,1061,81154,26480,109749
/json,1090,83234,25511,110990
/json,1165,84391,33411,120099
/json,3198,124502,54369,183367
/json,1342,539409,43127,585331
/json,1384,78558,34655,115834
/json,1036,59299,32870,94097
/json,3088,99994,61791,166948
/json,985,68837,28165,98896
/json,3872,141349,42170,190015
/json,1180,81025,23095,106497
/json,1259,118981,103040,224341
/json,1506,103904,42394,149078
/json,1197,83168,31639,117192
/json,721,58118,30222,89846
/json,1032,81222,43525,126918
/json,933,89107,27272,118308
/json,1070,129210,119024,250276
/json,1109,81426,31669,116062
/json,3468,130224,52287,187273
/json,1302,82481,30954,115925
/json,6713,159316,55745,225075
/json,1322,101294,45074,148878
/json,4274,139924,75028,221838
/json,1187,134161,38883,175328
/json,1410,79379,31610,113710
/json,861,58166,28098,88042
/json,4119,129212,130648,266526
/json,1705,86536,30898,120141
/json,1387,78307,34498,115450
/json,1115,78372,35737,116306
/json,2917,148947,61899,215106
/json,1153,76520,195652,275152
/json,1784,81173,41992,126583
/json,1271,643404,30968,676912
/json,1240,80375,47864,130555
/json,788,78090,52942,132668
/json,1325,113192,35259,151035
/json,857,64252,20178,86187
/json,2786,153015,57377,214384
/json,1060,77076,34717,113898
/json,807,127866,44829,174352
/json,1200,80846,29989,113097
/json,2702,127571,100049,231751
/json,1181,85160,28436,116038
/json,3914,131898,214749,353255
/json,704,54942,27837,84102
/json,3089,129049,83936,217838
/json,1258,85000,30761,118316
/json,2893,117395,68590,191598
/json,846,56423,22862,80938
/json,4849,156293,63970,227723
