timestamp,name,url,rate_rps,duration_s,threads,connections,requests,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,err_connect,err_read,err_write,err_status,err_timeout,exit_code
20260318_075044,lean_json,http://127.0.0.1:8080/json,2000,60,2,100,119803,1996.65,1.228,2.139,2.447,2.881,0,0,0,0,0,0
20260318_075144,warp_json,http://127.0.0.1:8081/json,2000,60,2,100,119805,1996.67,1.083,2.043,2.461,3.607,0,0,0,0,0,0
20260318_075245,flask_json,http://127.0.0.1:8082/json,2000,60,2,100,68332,1138.86,14794.751,24674.303,25509.887,25722.879,0,0,0,0,0,0
20260318_075346,nginx_json,http://127.0.0.1:8083/json,2000,60,2,100,118902,1981.63,1.466,6.119,8.687,14.495,0,0,0,0,0,0
20260318_075447,go_json,http://127.0.0.1:8084/json,2000,60,2,100,118904,1981.67,1.531,3.077,4.295,7.555,0,0,0,0,0,0
20260318_075548,lean_file50k,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.487,2.233,2.659,7.675,0,0,0,0,0,0
20260318_075648,warp_file50k,http://127.0.0.1:8081/file50k,300,60,2,100,18002,300.02,1.395,2.129,2.465,7.151,0,0,0,0,0,0
20260318_075749,flask_file50k,http://127.0.0.1:8082/file50k,300,60,2,100,17774,296.20,287.487,371.967,376.575,398.079,0,0,0,0,0,0
20260318_075850,nginx_file50k,http://127.0.0.1:8083/file50k,300,60,2,100,17702,295.02,6.515,12.455,13.639,15.063,0,0,0,0,0,0
20260318_075950,go_file50k,http://127.0.0.1:8084/file50k,300,60,2,100,17853,297.53,1.455,5.895,8.303,12.487,0,0,0,0,0,0
20260318_080051,lean_file1m,http://127.0.0.1:8080/file1m,50,60,2,50,3002,50.03,3.881,6.475,12.359,47.263,0,0,0,0,0,0
20260318_080152,warp_file1m,http://127.0.0.1:8081/file1m,50,60,2,50,3002,50.03,3.265,4.835,5.647,17.887,0,0,0,0,0,0
20260318_080252,flask_file1m,http://127.0.0.1:8082/file1m,50,60,2,50,2956,49.26,995.839,1027.583,1046.527,1052.671,0,0,0,0,0,0
20260318_080353,nginx_file1m,http://127.0.0.1:8083/file1m,50,60,2,50,3002,50.03,3.049,4.655,5.211,5.755,0,0,0,0,0,0
