name,url,rate_rps,duration_s,threads,connections,runs_total,trim_low,trim_high,requests_trimmed_mean,achieved_rps_trimmed_mean,p50_ms_trimmed_mean,p95_ms_trimmed_mean,p99_ms_trimmed_mean,p999_ms_trimmed_mean,err_connect_trimmed_mean,err_read_trimmed_mean,err_write_trimmed_mean,err_status_trimmed_mean,err_timeout_trimmed_mean
flask_file1m,http://127.0.0.1:8082/file1m,50,60,2,50,10,2,2,2953.500000,49.205000,543.881667,999.593667,1003.775000,1004.713667,0.000000,0.000000,0.000000,0.000000,0.000000
flask_file50k,http://127.0.0.1:8082/file50k,300,60,2,100,10,2,2,17904.000000,298.380000,248.041667,326.185667,333.012333,333.908333,0.000000,0.000000,0.000000,0.000000,0.000000
flask_json,http://127.0.0.1:8082/json,2000,60,2,100,10,2,2,116252.666667,1937.398333,970.153667,1448.959000,1498.452333,1518.335000,0.000000,0.000000,0.000000,0.000000,0.000000
go_file1m,http://127.0.0.1:8084/file1m,50,60,2,50,10,2,2,3002.000000,50.030000,2.834667,3.727667,4.141667,4.881667,0.000000,0.000000,0.000000,0.000000,0.000000
go_file50k,http://127.0.0.1:8084/file50k,300,60,2,100,10,2,2,17953.333333,299.206667,1.450167,2.521167,2.995333,3.518000,0.000000,0.000000,0.000000,0.000000,0.000000
go_json,http://127.0.0.1:8084/json,2000,60,2,100,10,2,2,119354.000000,1989.145000,1.235833,2.424667,2.844333,3.362333,0.000000,0.000000,0.000000,0.000000,0.000000
lean_file1m,http://127.0.0.1:8080/file1m,50,60,2,50,10,2,2,3002.000000,50.030000,3.131333,5.063667,44.228333,45.919000,0.000000,0.000000,0.000000,0.000000,0.000000
lean_file50k,http://127.0.0.1:8080/file50k,300,60,2,100,10,2,2,17952.500000,299.195000,1.616667,3.063667,3.637667,4.278667,0.000000,0.000000,0.000000,0.000000,0.000000
lean_json,http://127.0.0.1:8080/json,2000,60,2,100,10,2,2,119502.500000,1991.640000,1.291667,2.297000,2.766667,3.367333,0.000000,0.000000,0.000000,0.000000,0.000000
nginx_file1m,http://127.0.0.1:8083/file1m,50,60,2,50,10,2,2,3002.000000,50.030000,2.629667,3.479000,3.813333,4.191000,0.000000,0.000000,0.000000,0.000000,0.000000
nginx_file50k,http://127.0.0.1:8083/file50k,300,60,2,100,10,2,2,17952.166667,299.190000,1.381333,2.427667,2.825667,3.345000,0.000000,0.000000,0.000000,0.000000,0.000000
nginx_json,http://127.0.0.1:8083/json,2000,60,2,100,10,2,2,119652.000000,1994.120000,1.191000,2.180333,2.619333,2.995667,0.000000,0.000000,0.000000,0.000000,0.000000
warp_file1m,http://127.0.0.1:8081/file1m,50,60,2,50,10,2,2,3002.000000,50.030000,2.858667,3.920333,4.373667,5.129000,0.000000,0.000000,0.000000,0.000000,0.000000
warp_file50k,http://127.0.0.1:8081/file50k,300,60,2,100,10,2,2,17977.333333,299.608333,1.372833,2.287667,2.654667,3.033667,0.000000,0.000000,0.000000,0.000000,0.000000
warp_json,http://127.0.0.1:8081/json,2000,60,2,100,10,2,2,119653.500000,1994.140000,1.143667,2.222000,2.557667,2.827000,0.000000,0.000000,0.000000,0.000000,0.000000
